message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,business_update,A service the user is currently using has changed status and needs checking now.,0.86,message_0243
msg_091,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0238
msg_090,digest,unknown,"The sender is unfamiliar, but the message does not show urgency, payment pressure, or safety risk.",0.81,none
msg_048,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0151
msg_040,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0136;message_0135
msg_075,notify,business_update,A service the user is currently using has changed status and needs checking now.,0.87,message_0206
msg_005,notify,personal,A close contact sent a short urgent request that should interrupt the user.,0.86,message_0390
msg_104,mute,personal,"Similar historical messages were ignored, dismissed, or muted by this user.",0.84,message_0224
msg_069,mute,greeting,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0177;message_0193
msg_107,mute,scam,"The message tries to instruct the router, but the routing decision should be based on the actual content and risk.",0.87,message_0056
msg_070,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0369
msg_003,notify,business_update,A verified business is sending an update that matches the user's recent order history.,0.91,message_0031
msg_099,digest,personal,"The sender is trusted, but the message has no urgent action or safety relevance.",0.81,message_0227
msg_008,digest,business_update,The verified business message is legitimate but does not require immediate attention.,0.83,message_0072
msg_092,digest,payment,The verified business message is legitimate but does not require immediate attention.,0.84,message_0345
msg_060,notify,event,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.89,message_0404
msg_004,notify,event,A verified business is sending a reminder that matches the user's recent booking history.,0.89,message_0005
msg_030,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.84,message_0115;message_0335
msg_045,notify,personal,A close contact sent a short urgent request that should interrupt the user.,0.87,message_0146
msg_052,mute,scam,The sender is impersonating a known brand from an unofficial domain to look legitimate.,0.87,message_0207
msg_009,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0074
msg_071,digest,personal,The message is safe casual chat with no urgent action required.,0.79,message_0197
msg_016,mute,scam,The message uses fake support language and account-blocking pressure to push the user into action.,0.87,message_0024
msg_065,mute,promotion,"Similar historical messages were ignored, dismissed, or muted by this user.",0.87,message_0261
msg_038,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.86,message_0131;message_0132
msg_086,notify,event,A service the user is currently using has changed status and needs checking now.,0.86,message_0222
msg_014,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0017;message_0018
msg_094,mute,promotion,The user has opted out of or repeatedly dismissed similar marketing messages.,0.83,message_0356;message_0048
msg_029,digest,forward,"The message is useful group information, but it is not urgent enough to interrupt the user.",0.84,message_0113
msg_105,mute,forward,The sender has a pattern of repeated forwards or greetings that the user usually ignores.,0.85,message_0233;message_0373
msg_002,notify,personal,The sender directly asks this user for a response or action.,0.89,message_0003
msg_010,digest,business_update,A verified business is sending a legitimate but non-urgent update.,0.78,message_0011
msg_078,mute,scam,The message asks for urgent OTP or account verification through a suspicious flow.,0.83,message_0211
